Age,Study_Hours,Attendance,Department,Passed
21,2.0,78,AI,Yes
22,3.5,85,CSE,Yes
23,4.0,91,AI,Yes
24,5.0,88,ECE,Yes
25,,72,CSE,No
26,6.0,95,AI,Yes
27,4.5,90,ECE,Yes
28,3.0,80,CSE,No
<<<<<<< HEAD
=======
29,5.5,92,AI,Yes
30,2.5,75,ECE,No
31,6.5,96,AI,Yes
32,3.2,82,CSE,Yes
33,1.8,70,ECE,No
34,5.8,94,AI,Yes
35,2.1,74,CSE,No
36,4.8,89,ECE,Yes
37,6.2,97,AI,Yes
38,2.7,77,CSE,No
39,5.1,91,AI,Yes
40,3.4,83,ECE,Yes
41,1.9,69,CSE,No
42,5.9,93,AI,Yes
43,2.3,73,ECE,No
44,4.7,88,CSE,Yes
>>>>>>> 85d9c89 (Update DataPilot AI through Step 12)
